,,FAST School of Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Classes' Schedule for Semester: Fall- 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Room,08:30-09:50,,,,,,,,,10:00-11:20,,,,,,,,,11:30-12:50,,,,,,,,,01:00-02:20,,,,,,,,,02:25-03:45,,,,,,,,,03:50-05:10,,,,,,,
Monday,Classes,A-01,MG1001Fundamental of Management,,,,,,,BBA01A,,MG1001Fundamental of Management,,,,,,,BBA01B,,SS1016English - I  (11:30-1:20),,,,,,,,,,BBA01A,,,,,,,,MG3006Operations Management,,,,,,,BBA05A,,MG3006Operations Management,,,,,,,BBA05B
,,A-02,MT1002Business Math - I,,,,,,,BBA01B,,MT1002Business Math - I,,,,,,,BBA01A,,SS1007Islamic Studies/Ethics (11:30-01:20),,,,,,,,,,BBA01B,SS1018 U- Quran 01:20-2:15),,,,,BBA01B,,AF 3001Financial ManagementB,,,,,,,BA05B,,AF 3001Financial ManagementB,,,,,,,BA05AA
,,A-03,SS1016English - I  (8:30-10:20),,,,,,,,,,BBA01C,,,,,,,BBA01A,MG1001Fundamental of Management,,,,,,,BA01A,,MG1001Fundamental of Management,,,,,,,BA01B,,Conflict Resolution and Negosiation Skills,,,,,,,BBA07B,,Conflict Resolution and Negosiation Skills,,,,,,,BBA07B
,,A-04,AF1001Fundamental of Accounting,,,,,,,FT01A,,AF1001Fundamental of Accounting,,,,,,,FT01B,,AF1001Fundamental of Accounting,,,,,,,BA01B,,AF1001Fundamental of Accounting,,,,,,,BA01A,,MG2003Consumer Behaviour,,,,,,,BA05B,,MG2003Consumer Behaviour,,,,,,,BA05A
,,A-101,MG1002Marketing Management,,,,,,,FT01B,,MG1002Marketing Management,,,,,,,FT01A,,SS1007Islamic Studies/Ethics (11:30-01:20),,,,,,,,,,FT01A,SS1018 U- Quran 01:25-2:15,,,,,FT01A,,AF 3001Financial Management,,,,,,,BA05A,,AF 3001Financial Management,,,,,,,BA05B
,,A-102,SS1013Ideology and Constitution of Pakistan (8:30-10:20),,,,,,,,,,BA01B,SS1019 U- Seerah (10:25-11:20),,,,,BA01B,,SS1016English - I (11:30-01:20),,,,,,,,,,FT01B,,,,,,,,,,,,,,,,,,,,,,,,
,,A-103,CS1001IT in Business (8:30-10:20),,,,,,,,,,AF01A,.SS1013Ideology and Constitution of Pakistan (10:25-12:20),,,,,,,,,AF01A,,,,,,,SS1016English - I (01:00-02:50),,,,,,,,,,,,AF01B,SS2041Critical Thinking (3:00-4:55),,,,,,,,,,,,BA03C
,,A-104,MG1002Marketing Management,,,,,,,AF01C,,MT1002Business Math - I,,,,,,,AF01C,,AF1001Fundamental of Accounting,,,,,,,FT01C,,MG1002Marketing Management,,,,,,,FT01C,,MG2010 Business communication,,,,,,,BBA03C,,MG2009Data Analysis for Business II,,,,,,,BBA03C
,,A- 201,SS1003Pakistan Studies,,,,,,,BBA07A,,SS1003Pakistan Studies,,,,,,,BBA07B,,MT1002Business Math - I,,,,,,,AF01B,,MT1002Business Math - I,,,,,,,AF01A,,SS2002Microeconomics,,,,,,,BA03A,,SS2002Microeconomics,,,,,,,BA03B
,,A- 202,AF3004Accounting for Decision Making,,,,,,,AF05A,,AF3004Accounting for Decision Making,,,,,,,AF05B,,MG3003Basic Econometrics,,,,,,,FT05A,,MG3003Basic Econometrics,,,,,,,FT05B,,CS2016Programming for Business ,,,,,,,BA03B,,CS2016Programming for Business ,,,,,,,BA03A
,,A- 203,MG3002Business Law,,,,,,,AF05B,,MG3002Business Law,,,,,,,AF05A,,CS3010Web Programming,,,,,,,FT05B,,CS3010Web Programming,,,,,,,FT05A,,MG2009Data Analysis for Business II,,,,,,,BBA03A,,,,,,,,,
,,A--210,SS2042Community Service (8:30-10:20),,,,,,,,,,,BBA03A,SS1016English - I (10:30-12:20),,,,,,,,,,,,,BA01C,,MG1001Fundamental of Management,,,,,,,BA01C,,MG2011 Envirr S & S for Business,,,,,,,AF03A,,MG2011 Envirr S & S for Business,,,,,,,AF03B
,,B-130,AF4005Audit & Assurance,,,,,,,AF07A,,AF4006Investment Analysis & Management,,,,,,,AF07A,,EE,,,,,,,,,MG2009Data Analysis for Business II,,,,,,,BBA03B,,AF2001Corporate Accounting - I,,,,,,,AF03B,,AF2001Corporate Accounting - I,,,,,,,AF03A
,,A-211,CS,,,,,,,,,CS,,,,,,,,,MG2010 Business Communication,,,,,,,BBA03B,,MG2010 Business Communication,,,,,,,BBA03A,,,,,,,,,,,FSM,,,,,,,
,,B-29,EE,,,,,,,,,EE,,,,,,,,,EE,,,,,,,,,AF1001Fund of Accounting,,,,,,,AF01C,,EE							,,,,,,,,,,,,,,,,
,Labs,,08:30-09:50,,,,,,,,,10:00-11:20,,,,,,,,,11:30-12:50,,,,,,,,,01:00-02:20,,,,,,,,,02:25-03:45,,,,,,,,,03:50-05:10,,,,,,,
,Labs,Khyber I,SL1016English - I- Lab,,,,,,,BA01A1,,SL1016English - I- Lab,,,,,,,BA01A1,,FL3001Financial Management Lab,,,,,,,BA05A,,FL3001Financial Management Lab,,,,,,,BA05A,,LG2009Data Analysis for Business -II Lab,,,,,,,BBA03B,,LG2009Data Analysis for Business -II Lab,,,,,,,BBA03B
,,Khyber II,CL3003Management Information System Lab,,,,,,,BBA05C,,CL3003Management Information System Lab,,,,,,,BBA05C,,LG3003Basic Econometrics Lab,,,,,,,BA05B,,LG3003Basic Econometrics Lab,,,,,,,BA05B,,LG3003Basic Econometrics Lab,,,,,,,FT05C,,LG3003Basic Econometrics Lab,,,,,,,FT05C
,,Khyber III,CL1001IT in Business-Lab,,,,,,,FT01C1,,CL1001IT in Business-Lab,,,,,,,FT01C1,,FL3001Financial Management Lab,,,,,,,BBA05C,,FL3001Financial Management Lab,,,,,,,BBA05C,,CL3010Web Programming -Lab,,,,,,,FT05B,,CL3010Web Programming -Lab,,,,,,,FT05B
,,Khyber IV,SL1016English - I- Lab,,,,,,,FT01C2,,SL1016English - I- Lab,,,,,,,FT01C2,,LG2009Data Analysis for Business -II Lab,,,,,,,BA03C,,LG2009Data Analysis for Business -II Lab,,,,,,,BA03C,, SL1006 English -II Lab,,,,,,,MG0A,, SL1006 English -II Lab,,,,,,,MG0A
,,PTH-I,SL1016English - I- Lab,,,,,,,BA01A2,,SL1016English - I- Lab,,,,,,,BA01A2,,SL1016English - I- Lab,,,,,,,BBA01C1,,SL1016English - I- Lab,,,,,,,BBA01C1,,EE,,,,,,,,,EE,,,,,,,
,,Comp-I,CL1001IT in Business-Lab,,,,,,,AF01B2,,CL1001IT in Business-Lab,,,,,,,AF01B2,,SL1016English - I- Lab,,,,,,,BBA01C2,,SL1016English - I- Lab,,,,,,,BBA01C2,,EE,,,,,,,,,EE,,,,,,,
,,Cal-I,SL1016English - I- Lab,,,,,,,AF01B1,,SL1016English - I- Lab,,,,,,,AF01B1,,CS,,,,,,,,,CS,,,,,,,,,CS,,,,,,,,,CS,,,,,,,
,,Room,08:30-09:50,,,,,,,,,10:00-11:20,,,,,,,,,11:30-12:50,,,,,,,,,01:00-02:20,,,,,,,,,02:25-03:45,,,,,,,,,03:50-05:10,,,,,,,
